Country,City,UpdateTimeUTC,JamsDelay,TrafficIndexLive,JamsLengthInKms,JamsCount,TrafficIndexWeekAgo,UpdateTimeUTCWeekAgo,TravelTimeLivePer10KmsMins,TravelTimeHistoricPer10KmsMins,MinsDelay
ARE,abu-dhabi,01:30.0,650.7,36,109.1,162,30,01:30.0,11.61476694,10.26533011,1.349436825
ARE,abu-dhabi,46:00.0,540.4,30,101.4,136,27,46:30.0,11.00317962,10.03154431,0.971635314
ARE,abu-dhabi,46:30.0,71.8,7,18.9,23,6,46:30.0,8.196277949,8.196509787,-0.000231838
ARE,abu-dhabi,46:30.0,8.2,2,4.1,2,2,46:30.0,7.723807797,7.899046155,-0.175238358
ARE,abu-dhabi,01:30.0,1.1,1,0.2,1,1,01:30.0,8.336363491,8.604379091,-0.2680156
ARE,abu-dhabi,01:30.0,5.6,2,0.4,2,1,01:30.0,8.309698727,8.515686964,-0.205988237
ARE,abu-dhabi,31:30.0,5,2,0.9,1,1,01:30.0,8.337259079,8.536888727,-0.199629648
ARE,abu-dhabi,01:30.0,10.2,3,1.5,5,3,01:00.0,8.430087575,8.59058964,-0.160502066
ARE,abu-dhabi,01:30.0,40.9,13,9.9,16,5,01:00.0,9.126345346,8.6560938,0.470251546
ARE,abu-dhabi,16:30.0,197.9,17,20,37,7,01:00.0,9.716548509,9.014157165,0.702391344
ARE,abu-dhabi,31:30.0,176.3,13,16.3,45,10,01:00.0,9.676549357,9.507292875,0.169256482
ARE,abu-dhabi,01:00.0,176.3,14,17.7,60,14,01:00.0,10.05684301,10.17099539,-0.114152378
ARE,abu-dhabi,01:00.0,212.9,17,25.2,71,16,01:00.0,10.32970097,10.41007742,-0.080376454
ARE,abu-dhabi,01:00.0,257.9,21,32.3,79,18,01:00.0,10.6275457,10.26655985,0.360985854
ARE,abu-dhabi,01:00.0,260.9,21,44,79,18,46:00.0,10.64692359,10.08280761,0.564115987
ARE,abu-dhabi,46:00.0,250.4,19,47.8,84,16,46:00.0,10.4709705,9.994128573,0.476841923
ARE,abu-dhabi,46:00.0,108,12,9.3,35,11,46:00.0,9.731148522,9.657456625,0.073691897
